genre,average views
k-pop,445517840.6
british soul,269456061.0
alternative americana,1031683.0
funk carioca,160111469.0
garage rock,88141824.0
dance pop,261483425.6
art pop,91196448.0
argentine hip hop,17.0
permanent wave,1302730201.0
mambo chileno,701242795.0
pop rap,7760178.0
north carolina hip hop,22792097.0
latin,42320361.0
deep new americana,375017.0
pop,811281975.75
canadian hip hop,377939716.0
modern blues rock,22107576.0
alt z,911640.5
glam rock,140165833.0
brooklyn drill,6027132.5
modern alternative pop,131780402.0
gauze pop,3783603.0
experimental indie,50186.0
atl hip hop,14208058.666666666
indie garage rock,22412300.0
indie pop,1739703.5
modern rock,10451090.0
conscious hip hop,8436077.0
deep underground hip hop,25024271.0
gangster rap,1588951.0
chicago rap,9559932.0
canadian pop,115353722.0
charlottesville indie,20523.0
hip hop,19921327.0
neo-psychedelic,3577665.0
australian indie,662531.0
florida rap,160618040.0
chicago drill,5773873.0
lgbtq+ hip hop,335618822.0
belgian edm,250863414.0
